concept,frequency
ifrs-full:ProceedsFromDisposalOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleAndDiscontinuedOperations,2
hapaglloydag:CurrencyTranslationEffectsOnCashFlowHedgesNetOfTax,2
ifrs-full:PaymentsFromChangesInOwnershipInterestsInSubsidiaries,6
ifrs-full:Assets,10
andritz:ImpairmentOfGoodwill,4
andritz:AuszahlungenFuerSachanlagenUndImmaterielleVermoegenswerte,2
ifrs-full:ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,8
ifrs-full:ProfitLossAttributableToNoncontrollingInterests,10
ifrs-full:ProceedsFromNoncurrentBorrowings,4
ifrs-full:ChangesInInventoriesOfFinishedGoodsAndWorkInProgress,6
ifrs-full:AdjustmentsForUndistributedProfitsOfAssociates,6
ifrs-full:OtherComprehensiveIncome,88
ifrs-full:CurrentAssets,10
ifrs-full:IncreaseDecreaseThroughDisposalOfSubsidiary,21
hapaglloydag:EarningsBeforeInterestAndTaxesEBIT,2
ifrs-full:CurrentContractLiabilities,2
ifrs-full:EquityAttributableToOwnersOfParent,8
ifrs-full:OtherComprehensiveIncomeNetOfTaxChangeInValueOfForwardElementsOfForwardContracts,2
ifrs-full:OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,2
ifrs-full:OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,4
andritz:VertragsverbindlichkeitenAusZeitraumbezogenerUmsatzrealisierung,2
sixt:OtherEquity,2
ifrs-full:CashFlowsFromUsedInOperatingActivitiesContinuingOperations,2
ifrs-full:DividendsRecognisedAsDistributionsToNoncontrollingInterests,24
ifrs-full:GainsLossesOnCashFlowHedgesNetOfTax,2
ifrs-full:ProceedsFromDisposalsOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,6
ifrs-full:GainsLossesOnCashFlowHedgesBeforeTax,2
andritz:EinzahlungenAusDemVerkaufVonSachanlagenUndImmateriellenVermoegenswerten,2
ifrs-full:ReclassificationAdjustmentsOnCashFlowHedgesNetOfTax,2
ifrs-full:CashFlowsFromUsedInInvestingActivitiesContinuingOperations,2
ifrs-full:BasicEarningsLossPerShare,6
ifrs-full:PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,2
sixt:AdjustmentsForDecreaseIncreaseInRentalVehicles,2
andritz:AbschreibungenUndWertminderungenVonImmateriellenVermoegenswertenUndSachanlagen,2
ifrs-full:IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,8
ifrs-full:CashFlowsFromUsedInOperations,6
ifrs-full:CurrentProvisionsForEmployeeBenefits,2
ifrs-full:InterestReceivedClassifiedAsOperatingActivities,10
ifrs-full:ProfitLossBeforeTax,10
ifrs-full:AmortisationExpense,2
ifrs-full:NoncontrollingInterests,10
ifrs-full:OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,8
ifrs-full:NoncurrentLiabilities,10
ifrs-full:EffectOfExchangeRateChangesOnCashAndCashEquivalents,10
andritz:DepreciationAmortizationAndImpairmentOfIntangibleAssetsAndOfPropertyPlantAndEquipment,4
andritz:VeranlagungenUndSonstigeFinanzanlagen,2
sixt:OtherCurrentFinancialAndNonFinancialAssets,2
ifrs-full:IncomeTaxRelatingToRemeasurementsOfDefinedBenefitPlansOfOtherComprehensiveIncome,4
sixt:OtherNonCurrentLiabilities,2
ifrs-full:IncomeTaxesPaidRefundClassifiedAsOperatingActivities,10
hapaglloydag:AdjustmentsForInterests,2
ifrs-full:ContractAssets,6
ifrs-full:ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationBeforeTax,2
ifrs-full:InterestPaidClassifiedAsOperatingActivities,8
ifrs-full:OtherAdjustmentsForNoncashItems,8
ifrs-full:ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,2
ifrs-full:RawMaterialsAndConsumablesUsed,8
ifrs-full:InterestPaidClassifiedAsFinancingActivities,2
ifrs-full:LongtermBorrowings,2
ifrs-full:GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,2
andritz:GeleisteteAnzahlungen,2
ifrs-full:CashFlowsFromUsedInFinancingActivities,10
ifrs-full:CountryOfIncorporation,5
andritz:KurzfristigeLeasingverbindlichkeiten,2
ifrs-full:FinanceIncomeCost,2
ifrs-full:WagesAndSalaries,2
ifrs-full:AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,2
andritz:OtherFinancialResult,2
ifrs-full:CashFlowsFromUsedInFinancingActivitiesDiscontinuedOperations,2
ifrs-full:CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,2
ifrs-full:NoncurrentLeaseLiabilities,6
ifrs-full:IncreaseDecreaseThroughTreasuryShareTransactions,22
ifrs-full:EmployeeBenefitsExpense,10
ifrs-full:Inventories,10
ifrs-full:ComprehensiveIncomeAttributableToOwnersOfParent,14
ifrs-full:CashAndCashEquivalents,30
ifrs-full:PrincipalPlaceOfBusiness,4
andritz:AuszahlungenFuerLangUndKurzfristigeFinanzielleVermoegenswerte,2
ifrs-full:OtherComprehensiveIncomeNetOfTaxCashFlowHedges,8
ifrs-full:CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,6
ifrs-full:NoncurrentDerivativeFinancialAssets,2
hapaglloydag:PaymentsForLeaseholdImprovements,2
andritz:SonstigekurzfristigeForderungenUndVermoegenswerte,2
andritz:VeraenderungDesNettoumlaufvermoegens,2
ifrs-full:ImpairmentLossRecognisedInProfitOrLossGoodwill,2
sixt:DepreciationRentalVehicles,2
ifrs-full:AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables,2
andritz:CashflowAusDemErgebnis,2
ifrs-full:IncomeTaxExpenseContinuingOperations,10
ifrs-full:IntangibleAssetsOtherThanGoodwill,10
andritz:VertragsverbindlichkeitenAusZeitpunktbezogenerUmsatzrealisierung,2
andritz:VerbindlichkeitenAusLieferungenUndLeistungen,2
ifrs-full:OtherFinanceIncomeCost,6
andritz:ContractLiabilitiesFromSalesRecognizedAtAPointInTime,4
ifrs-full:LegalFormOfEntity,5
ifrs-full:DilutedEarningsLossPerShare,6
ifrs-full:CurrentAdvancesToSuppliers,4
ifrs-full:OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,6
ifrs-full:OtherShorttermProvisions,2
ifrs-full:OtherWorkPerformedByEntityAndCapitalised,6
ifrs-full:CurrentDerivativeFinancialLiabilities,2
ifrs-full:AdjustmentsForFinanceCosts,8
ifrs-full:OtherNoncurrentFinancialAssets,6
sixt:AdjustmentsForOtherNetAssets,2
ifrs-full:CurrentProvisions,8
andritz:GewinneVerlusteAusDemAbgangVonAnlagevermoegenUndFinanzielleVermögenswerte,2
andritz:SonstigekurzfristigeVerbindlichkeiten,2
ifrs-full:DividendsReceivedClassifiedAsInvestingActivities,2
andritz:AuszahlungenFuerDieTilgungVonAnleihen,2
ifrs-full:CurrentInvestments,4
ifrs-full:OtherNoncurrentReceivables,2
ifrs-full:OtherGainsLosses,2
sixt:LeaseAssets,2
ifrs-full:AdjustmentsForDecreaseIncreaseInInventories,4
ifrs-full:NoncurrentAssets,10
andritz:EarningsBeforeInterestAndTaxesEbit,4
ifrs-full:DividendsProposedOrDeclaredBeforeFinancialStatementsAuthorisedForIssueButNotRecognisedAsDistributionToOwnersPerShare,6
sixt:EffectOfChangesInScopeOnCashAndCashEquivalents,2
hapaglloydag:AdjustmentsForOtherFinancialItems,2
ifrs-full:OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,6
ifrs-full:CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,4
hapaglloydag:ChangeInRestrictedCash,2
ifrs-full:ProceedsFromSalesOrMaturityOfFinancialInstrumentsClassifiedAsInvestingActivities,4
ifrs-full:IncomeTaxRelatingToInvestmentsInEquityInstrumentsOfOtherComprehensiveIncome,2
ifrs-full:OtherComprehensiveIncomeAttributableToNoncontrollingInterests,2
ifrs-full:CurrentLeaseLiabilities,6
ifrs-full:CashFlowsFromUsedInInvestingActivitiesDiscontinuedOperations,2
ifrs-full:CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings,2
ifrs-full:CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings,2
ifrs-full:IncreaseDecreaseInCashAndCashEquivalents,4
ifrs-full:ProfitLossFromDiscontinuedOperations,2
andritz:ValuationAllowance,4
ifrs-full:ReclassificationAdjustmentsOnChangeInValueOfForwardElementsOfForwardContractsNetOfTax,2
ifrs-full:BasicAndDilutedEarningsLossPerShare,2
ifrs-full:InvestmentsInSubsidiariesJointVenturesAndAssociates,2
ifrs-full:OtherCurrentFinancialLiabilities,6
ifrs-full:AdjustmentsToReconcileProfitLossOtherThanChangesInWorkingCapital,2
ifrs-full:NoncurrentDerivativeFinancialLiabilities,2
ifrs-full:OtherNoncurrentAssets,4
hapaglloydag:PurchaseOfPropertyPlantAndEquipmentAndIntangibleAssets,2
andritz:LangfristigeLeasingverbindlichkeiten,2
hapaglloydag:ResultFromInvestmentsAndSecuruties,2
ifrs-full:AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,2
ifrs-full:FinanceIncome,10
ifrs-full:DeferredTaxAssets,10
ifrs-full:AdjustmentsForIncreaseDecreaseInTradeAccountPayable,2
andritz:SonstigelangfristigeForderungenUndVermoegenswerte,2
hapaglloydag:ProceedsFromSalesOfPropertyPlantAndEquipmentAndOfIntangibleAssets,2
ifrs-full:CurrentTradeReceivables,8
andritz:AbschreibungenUndWertminderungenVonImmateriellenVermoegenswertenSowieVonGeschaeftsUndFirmenwertenUndSachanlagen,2
ifrs-full:IncreaseDecreaseThroughSharebasedPaymentTransactions,18
ifrs-full:OtherLongtermProvisions,10
hapaglloydag:OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslationNotReclassified,2
ifrs-full:CurrentTaxLiabilitiesCurrent,10
ifrs-full:RepaymentsOfBorrowingsClassifiedAsFinancingActivities,2
ifrs-full:Goodwill,10
