entity,period,unit,decimals,value
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-70200000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,132701000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,120175000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-102900000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6620600000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,6722700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-185100000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-800000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-167700000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,70221000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-10200000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,1442338000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,104000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-1900000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-500000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,879882000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,14000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-1900000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,36500000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-7300000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,1565953000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,1206587000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,2637400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,104000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,10600000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1219600000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,36476000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,102880000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,175800000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,175800000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,12972000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,36500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-185100000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1206600000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,15500000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,5256000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,104000000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,1219559000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1567300000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,1592154000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,10600000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,3430800000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,1316642000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-70200000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-7700000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1792500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,2637400000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-265800000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,1327449000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-17400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-5300000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,1413451000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,168983000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6620600000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,6722700000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,1459454000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,211841000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6620600000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,1855000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,104000000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,82140000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-10200000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,1394709000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6606600000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-112600000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,36476000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,0
