entity,period,unit,decimals,value
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,207120000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,203718000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
