entity,period,unit,decimals,value
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,7056700000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,7672800000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,15184300000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,16200400000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,7056700000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,4428486000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,6249446000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,7056724000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,7234094000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,7672800000
